name,address,postcode,building_levels,apartments,latitude,longitude,osm_id,osm_type
Unnamed,,,,,53.3458833,-6.2496,753590275,way
Unnamed,Townsend Street,,,,53.3457308,-6.2496488,753590276,way
Unnamed,Marlborough Street,,,,53.3516755,-6.2581952,844048868,way
Unnamed,,,,,53.3576326,-6.2587766,862498371,way
Unnamed,"13, Dorset Street Upper",,5,,53.3535865,-6.2672831,865612165,way
Unnamed,"12, Dorset Street Upper",,5,,53.3535449,-6.2673307,865612166,way
Duff House 1912,,,,,53.3574617,-6.2483013,1009613423,way
Unnamed,,,,,53.3549016,-6.2648416,1018259129,way
Buckingham Village,"Buckingham Street Upper, Dublin",,4,,53.3553134,-6.2506466,1031727092,way
Unnamed,"Buckingham Street Upper, Dublin",,4,,53.3558692,-6.2509221,1031727093,way
Sean Tracey House,"Buckingham Street Upper, Dublin",,6,,53.3554456,-6.250182,1031727112,way
Unnamed,"Buckingham Street Upper, Dublin",,6,,53.355761,-6.2503326,1031727113,way
Unnamed,"Buckingham Street Upper, Dublin",,5,,53.3561695,-6.2505739,1031727115,way
Gandon Hall,"Gardiner Street Lower, Dublin",,,,53.352258,-6.2550697,1039622248,way
Unnamed,,,,,53.3550204,-6.2601637,1048295928,way
Unnamed,,,,,53.3550272,-6.2590789,1048295929,way
Unnamed,,,5,,53.3547181,-6.2591159,1048295930,way
Unnamed,,,,,53.3551001,-6.2586588,1048295931,way
Mellor Court,Liffey Street Lower,,,,53.3476273,-6.2637059,1065867043,way
Unnamed,,,,,53.3579041,-6.2476153,1073653974,way
Unnamed,,,,,53.3577949,-6.247834,1073654530,way
Unnamed,,,,,53.3565276,-6.2502102,1084203331,way
Unnamed,,,,,53.3551407,-6.2582544,1084223125,way
Unnamed,,,,,53.3555524,-6.2489795,1092347669,way
Unnamed,,,,,53.3562367,-6.2502181,1092347671,way
Unnamed,"18, Killarney Street",,,,53.3544535,-6.248299,1115736282,way
Unnamed,,,,,53.3546731,-6.2656355,1122696435,way
Unnamed,,,,,53.3570979,-6.2492161,1123752619,way
Unnamed,,,,,53.357063,-6.2493381,1123752620,way
Unnamed,,,,,53.3523878,-6.2497991,1124480932,way
Unnamed,,,,,53.3524963,-6.2495433,1124480933,way
Unnamed,,,,,53.3569272,-6.2505256,1125076838,way
Unnamed,,,7,,53.3519509,-6.2646774,1126932692,way
Wolfe Tone Court,"Mary Street, Dublin",,,,53.3487899,-6.2675764,1127347062,way
Unnamed,,,10,,53.3476472,-6.2642276,1135681021,way
Unnamed,,,,,53.3580191,-6.256208,1160884843,way
Unnamed,,,,,53.3567664,-6.255579,1161204244,way
Unnamed,,,,,53.3576794,-6.255911,1161204250,way
Unnamed,,,5,,53.3548492,-6.2570603,1162280160,way
Unnamed,,,,,53.3557814,-6.2560406,1162280172,way
Unnamed,"27, Gardiner Street Middle, Dublin",,,,53.3551394,-6.2572947,1162280176,way
Unnamed,"26, Gardiner Street Middle, Dublin",,,,53.3551936,-6.2573272,1162280177,way
Unnamed,"25, Gardiner Street Middle, Dublin",,,,53.3552364,-6.2573573,1162280178,way
Unnamed,"24, Gardiner Street Middle, Dublin",,,,53.3552787,-6.257387,1162280179,way
Unnamed,,,4,,53.3541223,-6.2581996,1164197126,way
Unnamed,"64, Mountjoy Square West",,,,53.3563038,-6.258948,1211960733,way
Unnamed,,,4,,53.3576083,-6.2630999,1218995926,way
Unnamed,,,,,53.3446293,-6.2676328,1221026156,way
Unnamed,,,,,53.344581,-6.2676139,1221026157,way
Unnamed,,,4,,53.3569843,-6.2634397,1222119103,way
Unnamed,,,,,53.3565564,-6.2625574,1222120470,way
Unnamed,,,,,53.3565481,-6.2657054,1225487444,way
Unnamed,,,4,,53.3562807,-6.2654934,1225487611,way
Unnamed,,,4,,53.3533923,-6.2668717,1239708032,way
Unnamed,,,3,,53.3535719,-6.2669747,1239708033,way
Unnamed,,,3,,53.3538154,-6.2670362,1239708034,way
Unnamed,,,4,,53.3536385,-6.2665614,1239708035,way
Unnamed,,,4,,53.351573,-6.267279,1241019152,way
Unnamed,,,3,,53.3554013,-6.2530057,1311637976,way
Unnamed,,,,,53.3552728,-6.2605365,1313354056,way
Unnamed,,,,,53.355367,-6.2607156,1313354057,way
Unnamed,,,,,53.3548493,-6.2599358,1313354058,way
Unnamed,,,,,53.3549349,-6.2600498,1313354059,way
Killarney Court,"Killarney Street, Dublin",,4,,53.3549364,-6.2491636,4835993,relation
Unnamed,,,5,,53.3495667,-6.2673099,9254412,relation
College Gate Apartments,,,,,53.3461024,-6.2541773,16314011,relation
